rate_hz,rx_pin,tx_pin,runs,sample_count_avg,missing_delta_total_avg,missing_delta_total_max,missing_rate_avg,mean_latency_ms_avg,p50_latency_ms_avg,p95_latency_ms_avg,p99_latency_ms_avg,max_latency_ms_avg,max_latency_ms_max,first_edge_mean_latency_ms_avg,first_edge_max_latency_ms_avg,last_edge_mean_latency_ms_avg,last_edge_max_latency_ms_avg,middle_mean_latency_ms_avg,first_edge_minus_middle_mean_ms_avg,last_edge_minus_middle_mean_ms_avg,parse_error_count_total,invalid_runs
5000,off,off,3,50004.0,0.0,0,0.0,0.01526750157987361,0.014543333333333333,0.015339333333333335,0.017394450000000023,2.942339,8.403257,0.06287666666666668,0.06287666666666668,0.6393466666666666,0.6393466666666666,0.015227198667946718,0.04764946799871995,0.62411946799872,0,0
5000,off,on,3,50004.0,0.0,0,0.0,0.014094622810175187,0.014531,0.015240666666666666,0.015839666666666665,0.13000633333333333,0.197186,0.05856166666666667,0.05856166666666667,0.13000633333333333,0.13000633333333333,0.014084999699987999,0.04447666696667867,0.11592133363334534,0,0
5000,on,off,3,50004.0,0.0,0,0.0,0.010600187465002799,0.010314333333333333,0.012111333333333333,0.012561999999999999,0.07367933333333333,0.098982,0.060950666666666674,0.060950666666666674,0.04809233333333334,0.04809233333333334,0.010594916696667867,0.0503557499699988,0.03749741663666547,0,0
5000,on,on,3,50004.0,0.0,0,0.0,0.010303503259739222,0.010308666666666667,0.010752999999999999,0.011179323333333333,0.07935199999999999,0.0905,0.07935199999999999,0.07935199999999999,0.030395000000000002,0.030395000000000002,0.010298154646185846,0.06905384535381415,0.02009684535381415,0,0
10000,off,off,3,100005.0,0.0,0,0.0,0.012754658747062648,0.012537,0.01421,0.014889,1.6320646666666665,2.147893,0.063043,0.063043,0.27914866666666666,0.27914866666666666,0.012745158181581817,0.05029784181841818,0.2664035084850849,0,0
10000,off,on,3,100005.0,0.0,0,0.0,0.01332997967101645,0.013604666666666666,0.014296000000000001,0.01636433333333333,0.5649826666666666,0.898501,0.06759266666666666,0.06759266666666666,0.15690166666666666,0.15690166666666666,0.013324044580445804,0.05426862208622086,0.14357762208622085,0,0
10000,on,off,3,100005.0,0.0,0,0.0,0.011286139523023849,0.011203666666666667,0.01179,0.012308666666666667,0.23741966666666667,0.432463,0.07568533333333333,0.07568533333333333,0.04649333333333333,0.04649333333333333,0.011283151301513014,0.06440218203182031,0.035210182031820324,0,0
10000,on,on,3,100005.0,0.0,0,0.0,0.010156425108744564,0.010006,0.010549666666666666,0.010821333333333334,1.2756496666666666,3.168949,0.06566666666666666,0.06566666666666666,0.9810016666666667,0.9810016666666667,0.010125634136341363,0.0555410325303253,0.9708760325303253,0,0
50000,off,off,3,500001.0,0.0,0,0.0,0.009578052685894628,0.00992,0.010543000000000002,0.010969,2.3414913333333334,2.828652,0.054111333333333324,0.054111333333333324,0.08559266666666665,0.08559266666666666,0.009577329391293915,0.044534003942039414,0.07601533727537274,0,0
50000,off,on,3,500001.0,0.0,0,0.0,0.011044499921000157,0.011290333333333333,0.011864333333333333,0.012870333333333333,2.665757333333333,7.394012,0.049982,0.049982,0.15011766666666668,0.15011766666666668,0.011043431846318464,0.03893856815368153,0.1390742348203482,0,0
50000,on,off,3,500001.0,0.0,0,0.0,0.00855072311055378,0.008734666666666667,0.009080333333333334,0.009562000000000001,0.863557,1.706965,0.06924066666666667,0.06924066666666667,0.032068,0.032068,0.008550217862178622,0.06069044880448805,0.023517782137821377,0,0
50000,on,on,3,500001.0,0.0,0,0.0,0.008241178201643598,0.008629333333333334,0.009012333333333332,0.009296333333333332,2.214392,4.091617,0.04872200000000001,0.048721999999999994,0.624217,0.624217,0.008237239422394224,0.04048476057760578,0.6159797605776058,0,0
100000,off,off,3,999999.0,0.0,0,0.0,0.007774646219646218,0.007043000000000001,0.009099000000000001,0.011241000000000001,1.9043796666666666,2.396634,0.049783999999999995,0.049783999999999995,0.02966066666666667,0.02966066666666667,0.007774454532181725,0.042009545467818266,0.02188621213448494,0,0
100000,off,on,3,962844.0,3823.0,11469,0.004302592810179464,0.2976102201680791,0.009240666666666666,0.009758999999999999,0.012209666666666666,384.964847,1154.180892,0.048783999999999994,0.048783999999999994,0.12779033333333334,0.12779033333333334,0.29761165909124315,-0.24882765909124313,-0.16982132575790984,0,0
