rate_hz,rcvbuf_requested,rcvbuf_actual,sndbuf_requested,sndbuf_actual,trial,sample_count,ok_count,parse_error_count,missing_delta_total,missing_rate,mean_latency_ms,p50_latency_ms,p95_latency_ms,p99_latency_ms,max_latency_ms,tx_status,rx_status,copy_status,run_validity,source_csv
100000,100000,200000,default,default,3,999999,999999,0,0,0.0,0.01047604555804556,0.008833,0.009592,0.012111,4.143936,0,0,0,ok,C:\tmp\adaptive-udp-link-issue-131-highrate\data\socket_buffer_txrx_highrate\rate_100000_rcvbuf_100000_sndbuf_default_run3.csv
100000,16000,32000,default,default,1,999432,999432,0,567,0.0005673222390317701,0.011485033381960955,0.009018,0.009704,0.017203,26.758368,0,0,0,ok,C:\tmp\adaptive-udp-link-issue-131-highrate\data\socket_buffer_txrx_highrate\rate_100000_rcvbuf_16000_sndbuf_default_run1.csv
100000,16000,32000,default,default,2,999957,999957,0,42,4.200180607766134e-05,0.008051824282444145,0.00824,0.009537,0.012055,1.282997,0,0,0,ok,C:\tmp\adaptive-udp-link-issue-131-highrate\data\socket_buffer_txrx_highrate\rate_100000_rcvbuf_16000_sndbuf_default_run2.csv
100000,16000,32000,default,default,3,999999,999999,0,0,0.0,0.008787545793545794,0.008592,0.011815,0.0125,0.597091,0,0,0,ok,C:\tmp\adaptive-udp-link-issue-131-highrate\data\socket_buffer_txrx_highrate\rate_100000_rcvbuf_16000_sndbuf_default_run3.csv
100000,2000,4000,default,default,1,999999,999999,0,0,0.0,0.008370784842784843,0.009223,0.009871,0.012388,0.394647,0,0,0,ok,C:\tmp\adaptive-udp-link-issue-131-highrate\data\socket_buffer_txrx_highrate\rate_100000_rcvbuf_2000_sndbuf_default_run1.csv
100000,2000,4000,default,default,2,999462,999462,0,537,0.0005372890615150951,0.007620567464295791,0.006426,0.00963,0.011908,3.097012,0,0,0,ok,C:\tmp\adaptive-udp-link-issue-131-highrate\data\socket_buffer_txrx_highrate\rate_100000_rcvbuf_2000_sndbuf_default_run2.csv
100000,2000,4000,default,default,3,999621,999621,0,378,0.0003781433163168841,0.007541150299963687,0.006426,0.009649,0.011963,2.763754,0,0,0,ok,C:\tmp\adaptive-udp-link-issue-131-highrate\data\socket_buffer_txrx_highrate\rate_100000_rcvbuf_2000_sndbuf_default_run3.csv
100000,32000,64000,default,default,1,999999,999999,0,0,0.0,0.007653516681516682,0.006444,0.009426,0.011889,1.875088,0,0,0,ok,C:\tmp\adaptive-udp-link-issue-131-highrate\data\socket_buffer_txrx_highrate\rate_100000_rcvbuf_32000_sndbuf_default_run1.csv
100000,32000,64000,default,default,2,998124,998124,0,1875,0.0018785241112326725,0.011877309812207701,0.00813,0.00974,0.013389,20.816492,0,0,0,ok,C:\tmp\adaptive-udp-link-issue-131-highrate\data\socket_buffer_txrx_highrate\rate_100000_rcvbuf_32000_sndbuf_default_run2.csv
100000,32000,64000,default,default,3,999315,999315,0,684,0.0006844688611699014,0.017810776004563128,0.008481,0.00987,0.03487,67.147965,0,0,0,ok,C:\tmp\adaptive-udp-link-issue-131-highrate\data\socket_buffer_txrx_highrate\rate_100000_rcvbuf_32000_sndbuf_default_run3.csv
