rate_hz,rcvbuf_requested,rcvbuf_actual,trials,samples_avg,missing_avg,mean_latency_ms_avg,p99_latency_ms_avg,max_latency_ms_avg
10000,100,2304,3,100002.0,3.0,0.013646,0.015085666666666666,0.6604206666666667
10000,512,2304,3,100005.0,0.0,0.012779666666666667,0.014906999999999998,0.157422
10000,1024,2304,3,99993.0,11.0,0.012853333333333333,0.015530666666666667,1.5259073333333333
10000,4096,8192,3,100005.0,0.0,0.012610666666666666,0.015030666666666666,0.5006366666666667
10000,8000,16000,3,100005.0,0.0,0.013489666666666665,0.015024666666666667,1.7614986666666665
10000,8192,16384,3,99983.0,22.0,0.012975,0.014975,4.047402666666667
10000,16384,32768,3,100005.0,0.0,0.013833999999999999,0.018574000000000004,0.47193666666666667
10000,32768,65536,3,100005.0,0.0,0.015211999999999998,0.017327,2.7756186666666665
10000,49152,98304,3,100005.0,0.0,0.013535666666666668,0.017968666666666664,2.415138666666667
10000,65536,131072,6,99965.0,40.0,0.045242833333333336,0.0169045,12.7093005
10000,98304,196608,3,100005.0,0.0,0.015471,0.017839333333333332,1.3150263333333332
10000,262144,425984,15,100005.0,0.0,0.014285333333333334,0.017397533333333333,2.1676564
12000,65536,131072,3,120003.0,0.0,0.014488000000000001,0.016395,0.5119306666666666
12000,262144,425984,15,120003.0,0.0,0.013888666666666665,0.015955466666666664,1.8983376666666667
14000,100,2304,3,139980.0,21.0,0.013166666666666667,0.016234333333333333,1.777476
14000,512,2304,3,140001.0,3.0,0.012763000000000002,0.016339000000000003,0.5561436666666667
14000,1024,2304,3,139976.0,28.0,0.012009666666666667,0.013271333333333335,1.9362663333333332
14000,4096,8192,3,140004.0,0.0,0.012350666666666668,0.014962999999999999,0.11160333333333333
14000,8000,16000,3,139997.0,7.0,0.013346333333333333,0.014759333333333333,2.033836
14000,8192,16384,3,139969.0,35.0,0.014108,0.016944333333333332,4.247706666666667
14000,16384,32768,3,140004.0,0.0,0.012353999999999999,0.015530666666666667,3.217655
14000,32768,65536,3,140004.0,0.0,0.013081,0.016277333333333335,1.5997226666666666
14000,49152,98304,3,140004.0,0.0,0.013282333333333333,0.019056,1.2125263333333334
14000,65536,131072,6,140004.0,0.0,0.012358833333333333,0.016040333333333334,1.9643430000000002
14000,98304,196608,3,140004.0,0.0,0.012121666666666668,0.014240999999999998,1.9934936666666667
14000,262144,425984,15,140004.0,0.0,0.013233933333333333,0.016209866666666666,2.2889426
16000,65536,131072,3,160005.0,0.0,0.011672,0.01670366666666667,2.718029
16000,262144,425984,15,160005.0,0.0,0.012746866666666665,0.016448066666666667,1.5109917333333334
18000,8192,16384,3,179997.0,6.0,0.012934000000000001,0.014549333333333333,2.059567
18000,16384,32768,3,180003.0,0.0,0.012976333333333333,0.014691000000000001,0.27853
18000,32768,65536,3,180003.0,0.0,0.014084666666666667,0.015351666666666666,3.913159666666667
18000,49152,98304,3,180003.0,0.0,0.015698666666666666,0.019709666666666667,2.4052703333333336
18000,65536,131072,6,180003.0,0.0,0.013883333333333333,0.018339833333333333,2.0749596666666665
18000,98304,196608,3,180003.0,0.0,0.011721333333333334,0.017679,2.044055
18000,262144,425984,15,180003.0,0.0,0.013648866666666667,0.014454333333333335,2.654631866666667
20000,65536,131072,3,200004.0,0.0,0.011962666666666668,0.014759000000000001,0.8304726666666666
20000,262144,425984,15,200004.0,0.0,0.013391333333333333,0.015417333333333333,2.639268733333333
