rate_hz,rx_pin,tx_pin,runs,first_edge_mean_latency_ms_avg,middle_mean_latency_ms_avg,last_edge_mean_latency_ms_avg,first_edge_minus_middle_mean_ms_avg,last_edge_minus_middle_mean_ms_avg,first_edge_max_latency_ms_avg,last_edge_max_latency_ms_avg,missing_delta_total_avg
5000,off,off,3,0.06287666666666668,0.015227198667946718,0.6393466666666666,0.04764946799871995,0.62411946799872,0.06287666666666668,0.6393466666666666,0.0
5000,off,on,3,0.05856166666666667,0.014084999699987999,0.13000633333333333,0.04447666696667867,0.11592133363334534,0.05856166666666667,0.13000633333333333,0.0
5000,on,off,3,0.060950666666666674,0.010594916696667867,0.04809233333333334,0.0503557499699988,0.03749741663666547,0.060950666666666674,0.04809233333333334,0.0
5000,on,on,3,0.07935199999999999,0.010298154646185846,0.030395000000000002,0.06905384535381415,0.02009684535381415,0.07935199999999999,0.030395000000000002,0.0
10000,off,off,3,0.063043,0.012745158181581817,0.27914866666666666,0.05029784181841818,0.2664035084850849,0.063043,0.27914866666666666,0.0
10000,off,on,3,0.06759266666666666,0.013324044580445804,0.15690166666666666,0.05426862208622086,0.14357762208622085,0.06759266666666666,0.15690166666666666,0.0
10000,on,off,3,0.07568533333333333,0.011283151301513014,0.04649333333333333,0.06440218203182031,0.035210182031820324,0.07568533333333333,0.04649333333333333,0.0
10000,on,on,3,0.06566666666666666,0.010125634136341363,0.9810016666666667,0.0555410325303253,0.9708760325303253,0.06566666666666666,0.9810016666666667,0.0
50000,off,off,3,0.054111333333333324,0.009577329391293915,0.08559266666666665,0.044534003942039414,0.07601533727537274,0.054111333333333324,0.08559266666666666,0.0
50000,off,on,3,0.049982,0.011043431846318464,0.15011766666666668,0.03893856815368153,0.1390742348203482,0.049982,0.15011766666666668,0.0
50000,on,off,3,0.06924066666666667,0.008550217862178622,0.032068,0.06069044880448805,0.023517782137821377,0.06924066666666667,0.032068,0.0
50000,on,on,3,0.04872200000000001,0.008237239422394224,0.624217,0.04048476057760578,0.6159797605776058,0.048721999999999994,0.624217,0.0
100000,off,off,3,0.049783999999999995,0.007774454532181725,0.02966066666666667,0.042009545467818266,0.02188621213448494,0.049783999999999995,0.02966066666666667,0.0
100000,off,on,3,0.048783999999999994,0.29761165909124315,0.12779033333333334,-0.24882765909124313,-0.16982132575790984,0.048783999999999994,0.12779033333333334,3823.0
100000,on,off,3,0.05961766666666666,0.012883045172980306,0.8561676666666665,0.04673462149368637,0.8432846214936863,0.05961766666666666,0.8561676666666665,458.0
100000,on,on,3,0.04777800000000001,0.01543981610017984,0.028660666666666668,0.03233818389982016,0.013220850566486827,0.04777800000000001,0.028660666666666668,799.0
500000,off,off,3,0.06082733333333334,0.04203405599678372,0.030889,0.01879327733654962,-0.011145055996783717,0.06082733333333334,0.030889,113695.0
500000,off,on,3,0.05554933333333333,0.2201797762316479,0.03509933333333334,-0.16463044289831455,-0.18508044289831457,0.05554933333333333,0.03509933333333334,552052.0
500000,on,off,3,0.058945,0.1170009629860811,0.03379033333333333,-0.0580559629860811,-0.08321062965274777,0.058945000000000004,0.03379033333333333,138754.0
500000,on,on,3,0.05266666666666667,0.1444212082077509,0.03255566666666667,-0.09175454154108424,-0.11186554154108423,0.05266666666666667,0.03255566666666667,172274.0
