rate_hz,rcvbuf_requested,rcvbuf_actual,sndbuf_requested,sndbuf_actual,trial,sample_count,ok_count,parse_error_count,missing_delta_total,missing_rate,mean_latency_ms,p50_latency_ms,p95_latency_ms,p99_latency_ms,max_latency_ms,tx_status,rx_status,copy_status,run_validity,source_csv
14000,16000,32000,16000,32000,1,140004,0,140004,0,0.00000000,0.012742955,0.013334000,0.014019000,0.014778000,0.207148000,0,0,0,ok,data/w08/socket_buffer_txrx_matrix/rate_14000_rcvbuf_16000_sndbuf_16000_run1.csv
14000,16000,32000,16000,32000,2,140004,0,140004,0,0.00000000,0.012982409,0.013685000,0.014260000,0.014630000,0.107815000,0,0,0,ok,data/w08/socket_buffer_txrx_matrix/rate_14000_rcvbuf_16000_sndbuf_16000_run2.csv
14000,16000,32000,16000,32000,3,140004,0,140004,0,0.00000000,0.011713693,0.012509000,0.014093000,0.014926000,0.471075000,0,0,0,ok,data/w08/socket_buffer_txrx_matrix/rate_14000_rcvbuf_16000_sndbuf_16000_run3.csv
14000,16000,32000,2000,4608,1,140004,0,140004,0,0.00000000,0.012870013,0.013519000,0.014093000,0.014500000,0.215667000,0,0,0,ok,data/w08/socket_buffer_txrx_matrix/rate_14000_rcvbuf_16000_sndbuf_2000_run1.csv
14000,16000,32000,2000,4608,2,140004,0,140004,0,0.00000000,0.014523913,0.013796000,0.014334000,0.014852000,3.011930000,0,0,0,ok,data/w08/socket_buffer_txrx_matrix/rate_14000_rcvbuf_16000_sndbuf_2000_run2.csv
14000,16000,32000,2000,4608,3,140004,0,140004,0,0.00000000,0.013226952,0.013889000,0.014833000,0.018074000,0.227760000,0,0,0,ok,data/w08/socket_buffer_txrx_matrix/rate_14000_rcvbuf_16000_sndbuf_2000_run3.csv
14000,16000,32000,4000,8000,1,140004,0,140004,0,0.00000000,0.013030069,0.013629000,0.014351000,0.019055000,0.088037000,0,0,0,ok,data/w08/socket_buffer_txrx_matrix/rate_14000_rcvbuf_16000_sndbuf_4000_run1.csv
14000,16000,32000,4000,8000,2,140004,0,140004,0,0.00000000,0.013281635,0.013574000,0.014148000,0.014537000,0.236593000,0,0,0,ok,data/w08/socket_buffer_txrx_matrix/rate_14000_rcvbuf_16000_sndbuf_4000_run2.csv
14000,16000,32000,4000,8000,3,140004,0,140004,0,0.00000000,0.013001113,0.013704000,0.014315000,0.014704000,0.206445000,0,0,0,ok,data/w08/socket_buffer_txrx_matrix/rate_14000_rcvbuf_16000_sndbuf_4000_run3.csv
14000,16000,32000,8000,16000,1,140004,0,140004,0,0.00000000,0.015860120,0.013667000,0.014223000,0.014962460,5.860824000,0,0,0,ok,data/w08/socket_buffer_txrx_matrix/rate_14000_rcvbuf_16000_sndbuf_8000_run1.csv
14000,16000,32000,8000,16000,2,140004,0,140004,0,0.00000000,0.013083370,0.013741000,0.014407000,0.015185970,0.435945000,0,0,0,ok,data/w08/socket_buffer_txrx_matrix/rate_14000_rcvbuf_16000_sndbuf_8000_run2.csv
