rate_hz,rx_pin,tx_pin,trial,rx_core,tx_core,rx_effective_core,tx_effective_core,sample_count,ok_count,parse_error_count,missing_delta_total,missing_rate,mean_latency_ms,p50_latency_ms,p95_latency_ms,p99_latency_ms,max_latency_ms,first_edge_count,first_edge_mean_latency_ms,first_edge_max_latency_ms,last_edge_count,last_edge_mean_latency_ms,last_edge_max_latency_ms,middle_mean_latency_ms,first_edge_minus_middle_mean_ms,last_edge_minus_middle_mean_ms,tx_status,rx_status,copy_status,run_validity,source_csv
10000,off,on,1,0,1,default,1,100005,100005,0,0,0.0,0.013916519124043798,0.013685,0.014481,0.019334,0.489816,3,0.060037,0.060037,3,0.089185,0.089185,0.013912877418774188,0.046124122581225814,0.07527212258122581,0,0,0,ok,C:\tmp\adaptive-udp-link-issue-132-cpu-affinity\data\cpu_affinity_matrix\rate_10000_rxpin_off_txpin_on_run1.csv
10000,off,on,2,0,1,default,1,100005,100005,0,0,0.0,0.013012809989500525,0.013555,0.014185,0.014759,0.306631,3,0.072833,0.072833,3,0.180982,0.180982,0.013005976239762398,0.059827023760237595,0.1679760237602376,0,0,0,ok,C:\tmp\adaptive-udp-link-issue-132-cpu-affinity\data\cpu_affinity_matrix\rate_10000_rxpin_off_txpin_on_run2.csv
10000,off,on,3,0,1,default,1,100005,100005,0,0,0.0,0.013060609899505025,0.013574,0.014222,0.015,0.898501,3,0.069908,0.069908,3,0.200538,0.200538,0.013053280082800829,0.05685471991719917,0.18748471991719917,0,0,0,ok,C:\tmp\adaptive-udp-link-issue-132-cpu-affinity\data\cpu_affinity_matrix\rate_10000_rxpin_off_txpin_on_run3.csv
10000,on,off,1,0,1,0,default,100005,100005,0,0,0.0,0.010102898245087746,0.010037,0.010555000000000002,0.010833,0.432463,3,0.077092,0.077092,3,0.024796,0.024796,0.010100447754477545,0.06699155224552245,0.014695552245522454,0,0,0,ok,C:\tmp\adaptive-udp-link-issue-132-cpu-affinity\data\cpu_affinity_matrix\rate_10000_rxpin_on_txpin_off_run1.csv
10000,on,off,2,0,1,0,default,100005,100005,0,0,0.0,0.013624228348582571,0.013537,0.014167,0.014908,0.08887,3,0.080056,0.080056,3,0.08887,0.08887,0.013619977979779797,0.0664360220202202,0.07525002202022021,0,0,0,ok,C:\tmp\adaptive-udp-link-issue-132-cpu-affinity\data\cpu_affinity_matrix\rate_10000_rxpin_on_txpin_off_run2.csv
10000,on,off,3,0,1,0,default,100005,100005,0,0,0.0,0.01013129197540123,0.010037,0.010648,0.011185,0.190926,3,0.069908,0.069908,3,0.025814,0.025814,0.010129028170281704,0.059778971829718294,0.015684971829718296,0,0,0,ok,C:\tmp\adaptive-udp-link-issue-132-cpu-affinity\data\cpu_affinity_matrix\rate_10000_rxpin_on_txpin_off_run3.csv
10000,on,on,1,0,1,0,1,100005,100005,0,0,0.0,0.010047814819259038,0.009963,0.0105,0.010778,0.431982,3,0.067482,0.067482,3,0.033852,0.033852,0.010045377643776438,0.057436622356223564,0.023806622356223564,0,0,0,ok,C:\tmp\adaptive-udp-link-issue-132-cpu-affinity\data\cpu_affinity_matrix\rate_10000_rxpin_on_txpin_on_run1.csv
10000,on,on,2,0,1,0,1,100005,100005,0,0,0.0,0.010284854777261137,0.01,0.010537,0.010815,3.168949,3,0.065796,0.065796,3,2.879097,2.879097,0.010197124201242013,0.05559887579875798,2.868899875798758,0,0,0,ok,C:\tmp\adaptive-udp-link-issue-132-cpu-affinity\data\cpu_affinity_matrix\rate_10000_rxpin_on_txpin_on_run2.csv
10000,on,on,3,0,1,0,1,100005,100005,0,0,0.0,0.010136605729713515,0.010055,0.010612,0.010870999999999999,0.226018,3,0.063722,0.063722,3,0.030056,0.030056,0.01013440056400564,0.05358759943599436,0.019921599435994357,0,0,0,ok,C:\tmp\adaptive-udp-link-issue-132-cpu-affinity\data\cpu_affinity_matrix\rate_10000_rxpin_on_txpin_on_run3.csv
500000,off,off,1,0,1,default,default,4702251,4702251,0,369,7.847305471358293e-05,0.006098104082066228,0.005444,0.007834,0.010278,3.28056,3,0.071463,0.071463,3,0.027611,0.027611,0.006098048654631989,0.06536495134536802,0.02151295134536801,0,0,0,ok,C:\tmp\adaptive-udp-link-issue-132-cpu-affinity\data\cpu_affinity_matrix\rate_500000_rxpin_off_txpin_off_run1.csv
