rate_hz,rcvbuf_requested,rcvbuf_actual,sndbuf_requested,sndbuf_actual,trials,samples_avg,missing_avg,missing_rate_avg,mean_latency_ms_avg,p95_latency_ms_avg,p99_latency_ms_avg,max_latency_ms_avg
14000,8000,16000,2000,4608,3,139982.0,22.0,0.00015721247981248838,0.014677014716085934,0.014333666666666666,0.015018333333333333,5.948823666666666
14000,8000,16000,4000,8000,3,140004.0,0.0,0.0,0.01330758423330762,0.014240999999999998,0.014803000000000002,0.8956623333333334
14000,8000,16000,8000,16000,3,139877.0,127.0,0.0009095922591550103,0.026745799728507328,0.014364333333333335,0.016839656666666668,37.58335
14000,8000,16000,10000,20000,3,140004.0,0.0,0.0,0.013447339433159053,0.01419766666666667,0.016074333333333333,0.08970966666666667
14000,8000,16000,12000,24000,3,139987.0,17.0,0.00012146935042478546,0.012995844466559768,0.013105,0.014913666666666667,4.479927
14000,8000,16000,16000,32000,3,140004.0,0.0,0.0,0.013674333461901089,0.014173,0.014734666666666667,1.3022676666666666
14000,12000,24000,2000,4608,3,139882.0,122.0,0.0008736876781391885,0.023741363746260267,0.014382666666666667,0.015030666666666666,20.102279666666664
14000,12000,24000,4000,8000,3,140004.0,0.0,0.0,0.013559478164909574,0.014290333333333334,0.01630215333333334,1.8154723333333334
14000,12000,24000,8000,16000,3,140004.0,0.0,0.0,0.011707613211051113,0.01421,0.015561666666666668,0.5234826666666667
14000,12000,24000,10000,20000,3,140000.0,4.0,2.857306131778959e-05,0.012937029978013095,0.014129333333333332,0.01738899,3.1252953333333333
14000,12000,24000,12000,24000,3,140004.0,0.0,0.0,0.013554694623010772,0.014457,0.018598820000000005,1.6112743333333333
14000,12000,24000,16000,32000,3,140004.0,0.0,0.0,0.01286304329162024,0.014098666666666667,0.015963,0.2890743333333333
14000,16000,32000,2000,4608,3,140004.0,0.0,0.0,0.01354029282734779,0.01442,0.01580866666666667,1.1517856666666666
14000,16000,32000,4000,8000,3,140004.0,0.0,0.0,0.013104272477929202,0.014271333333333332,0.016098666666666667,0.177025
14000,16000,32000,8000,16000,3,140004.0,0.0,0.0,0.012979832154795576,0.014117333333333334,0.014790476666666672,2.2413553333333334
14000,16000,32000,10000,20000,3,140004.0,0.0,0.0,0.011958585390417416,0.012814666666666669,0.013796000000000001,1.360657
14000,16000,32000,12000,24000,3,140004.0,0.0,0.0,0.013238381631953372,0.014253333333333333,0.014821333333333334,0.218834
14000,16000,32000,16000,32000,3,140004.0,0.0,0.0,0.012479685987543213,0.014124,0.014778,0.26201266666666667
18000,8000,16000,2000,4608,3,179988.0,15.0,8.335278231587371e-05,0.01267980841077687,0.013605333333333332,0.015360913333333294,1.818707
18000,8000,16000,4000,8000,3,180003.0,0.0,0.0,0.012748515735848847,0.013555666666666667,0.014173,0.8671369999999999
18000,8000,16000,8000,16000,3,179983.0,20.0,0.00011114630744180102,0.013351676695541862,0.013444333333333334,0.014493666666666667,3.0108756666666667
18000,8000,16000,10000,20000,3,180003.0,0.0,0.0,0.012834999000016667,0.013611333333333335,0.014586,0.11714233333333333
18000,8000,16000,12000,24000,3,180003.0,0.0,0.0,0.012696672227685094,0.013574333333333334,0.014358333333333334,2.214325
18000,8000,16000,16000,32000,3,179656.0,347.0,0.0019383908699368263,0.0183198183864275,0.013617333333333334,0.014370333333333332,21.121338666666666
18000,12000,24000,2000,4608,3,179954.0,49.0,0.0002723393134584222,0.01487285503775762,0.013913,0.015839333333333334,5.587120333333334
18000,12000,24000,4000,8000,3,180003.0,0.0,0.0,0.012605156864052267,0.013555666666666666,0.014123666666666666,1.596762
18000,12000,24000,8000,16000,3,180003.0,0.0,0.0,0.011743264528924519,0.013691666666666666,0.014518666666666666,0.6490563333333333
18000,12000,24000,10000,20000,3,179996.0,7.0,3.889277816670556e-05,0.013032536218578276,0.013617666666666667,0.014660333333333333,2.3523799999999997
18000,12000,24000,12000,24000,3,179709.0,294.0,0.0016374678397931008,0.02130006252114225,0.013808666666666665,0.014382666666666667,17.988512666666665
18000,12000,24000,16000,32000,3,179715.0,288.0,0.0016076901177298076,0.018894306846968998,0.013629666666666667,0.015352,17.63161666666667
18000,16000,32000,2000,4608,3,179998.0,5.0,2.777962975309465e-05,0.013458175267705987,0.013771333333333335,0.015994446666666693,2.8690296666666666
18000,16000,32000,4000,8000,3,180003.0,0.0,0.0,0.012417775153747437,0.013531,0.014234333333333335,1.2011503333333333
18000,16000,32000,8000,16000,3,180003.0,0.0,0.0,0.012816402409959834,0.013475666666666665,0.013981666666666665,1.9627626666666667
18000,16000,32000,10000,20000,3,179906.0,97.0,0.000539752492877493,0.015388522988406145,0.013678999999999998,0.015370333333333333,7.857550333333332
18000,16000,32000,12000,24000,3,180003.0,0.0,0.0,0.012903694305094915,0.013358,0.014290333333333334,2.3697079999999997
18000,16000,32000,16000,32000,3,180003.0,0.0,0.0,0.012377514391426809,0.013358333333333333,0.013987333333333333,1.5987740000000004
