link_name,trial,mono_ns,elapsed_ms,from_state,to_state,reason
host_loopback,1,120202159580,5000,Normal,Degraded,no_recv_ok_for_threshold_windows
host_loopback,1,123202159580,8000,Degraded,Normal,timeout_only_recovered_by_healthy_windows
