link_name,trial,mono_ns,elapsed_ms,from_state,to_state,reason
host_loopback,2,129274276940,5000,Normal,Degraded,no_recv_ok_for_threshold_windows
host_loopback,2,132274276940,8000,Degraded,Normal,timeout_only_recovered_by_healthy_windows
