link_name,trial,mono_ns,elapsed_ms,from_state,to_state,reason
host_loopback,3,138350017542,5000,Normal,Degraded,no_recv_ok_for_threshold_windows
host_loopback,3,141350017542,8000,Degraded,Normal,timeout_only_recovered_by_healthy_windows
