mode,board,sample_index,period_target_us,timestamp_us,delta_us,jitter_us,queue_latency_us,deadline_miss_count
freertos,pico,1,10000,987,0,0,80,0
freertos,pico,2,10000,10985,9998,-2,11,0
freertos,pico,3,10000,20964,9979,-21,7,0
freertos,pico,4,10000,30964,10000,0,7,0
freertos,pico,5,10000,40964,10000,0,7,0
freertos,pico,6,10000,50964,10000,0,7,0
freertos,pico,7,10000,60964,10000,0,7,0
freertos,pico,8,10000,70964,10000,0,7,0
freertos,pico,9,10000,80964,10000,0,7,0
freertos,pico,10,10000,90964,10000,0,7,0
freertos,pico,11,10000,101049,10085,85,12,0
freertos,pico,12,10000,110964,9915,-85,7,0
freertos,pico,13,10000,120964,10000,0,7,0
freertos,pico,14,10000,130964,10000,0,7,0
freertos,pico,15,10000,140964,10000,0,7,0
freertos,pico,16,10000,150964,10000,0,7,0
freertos,pico,17,10000,160964,10000,0,7,0
freertos,pico,18,10000,170964,10000,0,7,0
freertos,pico,19,10000,180964,10000,0,7,0
freertos,pico,20,10000,190964,10000,0,7,0
freertos,pico,21,10000,200964,10000,0,7,0
freertos,pico,22,10000,210964,10000,0,7,0
freertos,pico,23,10000,221011,10047,47,9,0
freertos,pico,24,10000,230964,9953,-47,7,0
freertos,pico,25,10000,240964,10000,0,7,0
freertos,pico,26,10000,250964,10000,0,7,0
freertos,pico,27,10000,260964,10000,0,7,0
freertos,pico,28,10000,270964,10000,0,7,0
freertos,pico,29,10000,280964,10000,0,7,0
freertos,pico,30,10000,290964,10000,0,7,0
freertos,pico,31,10000,300964,10000,0,7,0
freertos,pico,32,10000,310964,10000,0,7,0
freertos,pico,33,10000,320964,10000,0,7,0
freertos,pico,34,10000,330964,10000,0,7,0
freertos,pico,35,10000,340964,10000,0,7,0
freertos,pico,36,10000,350964,10000,0,7,0
freertos,pico,37,10000,360964,10000,0,13,0
freertos,pico,38,10000,370964,10000,0,10,0
freertos,pico,39,10000,380964,10000,0,9,0
freertos,pico,40,10000,390964,10000,0,7,0
freertos,pico,41,10000,400964,10000,0,7,0
freertos,pico,42,10000,410964,10000,0,7,0
freertos,pico,43,10000,420965,10001,1,14,0
freertos,pico,44,10000,430964,9999,-1,9,0
freertos,pico,45,10000,440964,10000,0,7,0
freertos,pico,46,10000,450964,10000,0,7,0
freertos,pico,47,10000,460964,10000,0,7,0
freertos,pico,48,10000,470964,10000,0,7,0
freertos,pico,49,10000,480964,10000,0,7,0
freertos,pico,50,10000,490964,10000,0,7,0
freertos,pico,51,10000,500964,10000,0,7,0
freertos,pico,52,10000,510964,10000,0,7,0
freertos,pico,53,10000,520964,10000,0,7,0
freertos,pico,54,10000,530964,10000,0,7,0
freertos,pico,55,10000,540964,10000,0,7,0
freertos,pico,56,10000,550964,10000,0,7,0
freertos,pico,57,10000,560964,10000,0,7,0
freertos,pico,58,10000,570964,10000,0,7,0
freertos,pico,59,10000,580964,10000,0,7,0
freertos,pico,60,10000,590964,10000,0,7,0
freertos,pico,61,10000,600964,10000,0,7,0
freertos,pico,62,10000,610964,10000,0,7,0
freertos,pico,63,10000,620964,10000,0,7,0
freertos,pico,64,10000,630964,10000,0,7,0
freertos,pico,65,10000,640964,10000,0,7,0
freertos,pico,66,10000,650964,10000,0,7,0
freertos,pico,67,10000,660964,10000,0,7,0
freertos,pico,68,10000,670964,10000,0,7,0
freertos,pico,69,10000,680964,10000,0,7,0
freertos,pico,70,10000,690964,10000,0,7,0
freertos,pico,71,10000,700964,10000,0,7,0
freertos,pico,72,10000,710964,10000,0,7,0
freertos,pico,73,10000,720964,10000,0,7,0
freertos,pico,74,10000,730964,10000,0,7,0
freertos,pico,75,10000,740964,10000,0,7,0
freertos,pico,76,10000,750964,10000,0,7,0
freertos,pico,77,10000,760964,10000,0,7,0
freertos,pico,78,10000,770964,10000,0,7,0
freertos,pico,79,10000,780964,10000,0,7,0
freertos,pico,80,10000,790964,10000,0,7,0
freertos,pico,81,10000,800964,10000,0,7,0
freertos,pico,82,10000,810964,10000,0,7,0
freertos,pico,83,10000,820964,10000,0,7,0
freertos,pico,84,10000,830964,10000,0,7,0
freertos,pico,85,10000,840964,10000,0,7,0
