mode,board,sample_index,period_target_us,timestamp_us,delta_us,jitter_us
baremetal,pico,1,10000,2000691,0,0
baremetal,pico,2,10000,2011580,10889,889
baremetal,pico,3,10000,2022462,10882,882
baremetal,pico,4,10000,2033343,10881,881
baremetal,pico,5,10000,2041504,8161,-1839
baremetal,pico,6,10000,2052385,10881,881
baremetal,pico,7,10000,2063267,10882,882
baremetal,pico,8,10000,2071428,8161,-1839
baremetal,pico,9,10000,2082309,10881,881
baremetal,pico,10,10000,2093190,10881,881
baremetal,pico,11,10000,2101351,8161,-1839
baremetal,pico,12,10000,2112232,10881,881
baremetal,pico,13,10000,2123114,10882,882
baremetal,pico,14,10000,2131275,8161,-1839
baremetal,pico,15,10000,2142156,10881,881
baremetal,pico,16,10000,2153037,10881,881
baremetal,pico,17,10000,2161198,8161,-1839
baremetal,pico,18,10000,2172080,10882,882
baremetal,pico,19,10000,2182961,10881,881
baremetal,pico,20,10000,2191122,8161,-1839
baremetal,pico,21,10000,2202003,10881,881
baremetal,pico,22,10000,2212884,10881,881
baremetal,pico,23,10000,2221045,8161,-1839
baremetal,pico,24,10000,2231927,10882,882
baremetal,pico,25,10000,2242808,10881,881
baremetal,pico,26,10000,2250969,8161,-1839
baremetal,pico,27,10000,2261850,10881,881
baremetal,pico,28,10000,2272732,10882,882
baremetal,pico,29,10000,2280893,8161,-1839
baremetal,pico,30,10000,2291774,10881,881
baremetal,pico,31,10000,2302655,10881,881
baremetal,pico,32,10000,2310816,8161,-1839
baremetal,pico,33,10000,2321697,10881,881
baremetal,pico,34,10000,2332579,10882,882
baremetal,pico,35,10000,2340740,8161,-1839
baremetal,pico,36,10000,2351621,10881,881
baremetal,pico,37,10000,2362502,10881,881
baremetal,pico,38,10000,2373384,10882,882
baremetal,pico,39,10000,2381545,8161,-1839
baremetal,pico,40,10000,2392426,10881,881
baremetal,pico,41,10000,2403307,10881,881
baremetal,pico,42,10000,2411468,8161,-1839
baremetal,pico,43,10000,2422349,10881,881
baremetal,pico,44,10000,2433231,10882,882
baremetal,pico,45,10000,2441392,8161,-1839
baremetal,pico,46,10000,2452273,10881,881
