mode,board,sample_index,period_target_us,timestamp_us,delta_us,jitter_us
baremetal,pico,1,10000,2000681,0,0
baremetal,pico,2,10000,2011570,10889,889
baremetal,pico,3,10000,2022451,10881,881
baremetal,pico,4,10000,2033332,10881,881
baremetal,pico,5,10000,2041493,8161,-1839
baremetal,pico,6,10000,2052375,10882,882
baremetal,pico,7,10000,2063256,10881,881
baremetal,pico,8,10000,2071417,8161,-1839
baremetal,pico,9,10000,2082298,10881,881
baremetal,pico,10,10000,2093180,10882,882
baremetal,pico,11,10000,2101341,8161,-1839
baremetal,pico,12,10000,2112222,10881,881
baremetal,pico,13,10000,2123103,10881,881
baremetal,pico,14,10000,2131264,8161,-1839
baremetal,pico,15,10000,2142145,10881,881
baremetal,pico,16,10000,2153027,10882,882
baremetal,pico,17,10000,2161188,8161,-1839
baremetal,pico,18,10000,2172069,10881,881
baremetal,pico,19,10000,2182950,10881,881
baremetal,pico,20,10000,2191111,8161,-1839
baremetal,pico,21,10000,2201993,10882,882
baremetal,pico,22,10000,2212874,10881,881
baremetal,pico,23,10000,2221035,8161,-1839
baremetal,pico,24,10000,2231916,10881,881
baremetal,pico,25,10000,2242797,10881,881
baremetal,pico,26,10000,2250958,8161,-1839
baremetal,pico,27,10000,2261840,10882,882
baremetal,pico,28,10000,2272721,10881,881
baremetal,pico,29,10000,2280882,8161,-1839
baremetal,pico,30,10000,2291763,10881,881
baremetal,pico,31,10000,2302645,10882,882
baremetal,pico,32,10000,2310806,8161,-1839
baremetal,pico,33,10000,2321687,10881,881
baremetal,pico,34,10000,2332568,10881,881
baremetal,pico,35,10000,2340729,8161,-1839
baremetal,pico,36,10000,2351610,10881,881
baremetal,pico,37,10000,2362492,10882,882
baremetal,pico,38,10000,2373373,10881,881
baremetal,pico,39,10000,2381534,8161,-1839
baremetal,pico,40,10000,2392415,10881,881
baremetal,pico,41,10000,2403297,10882,882
baremetal,pico,42,10000,2411457,8160,-1840
baremetal,pico,43,10000,2422339,10882,882
baremetal,pico,44,10000,2433220,10881,881
baremetal,pico,45,10000,2441381,8161,-1839
baremetal,pico,46,10000,2452262,10881,881
baremetal,pico,47,10000,2463144,10882,882
baremetal,pico,48,10000,2471305,8161,-1839
baremetal,pico,49,10000,2482186,10881,881
baremetal,pico,50,10000,2493067,10881,881
baremetal,pico,51,10000,2501228,8161,-1839
baremetal,pico,52,10000,2512109,10881,881
baremetal,pico,53,10000,2522991,10882,882
baremetal,pico,54,10000,2531152,8161,-1839
baremetal,pico,55,10000,2542033,10881,881
baremetal,pico,56,10000,2552914,10881,881
baremetal,pico,57,10000,2561075,8161,-1839
baremetal,pico,58,10000,2571957,10882,882
baremetal,pico,59,10000,2582838,10881,881
baremetal,pico,60,10000,2590999,8161,-1839
baremetal,pico,61,10000,2601880,10881,881
baremetal,pico,62,10000,2612761,10881,881
baremetal,pico,63,10000,2620922,8161,-1839
baremetal,pico,64,10000,2631804,10882,882
baremetal,pico,65,10000,2642685,10881,881
baremetal,pico,66,10000,2650846,8161,-1839
baremetal,pico,67,10000,2661727,10881,881
baremetal,pico,68,10000,2672609,10882,882
baremetal,pico,69,10000,2680770,8161,-1839
baremetal,pico,70,10000,2691651,10881,881
baremetal,pico,71,10000,2702532,10881,881
baremetal,pico,72,10000,2710693,8161,-1839
baremetal,pico,73,10000,2721574,10881,881
baremetal,pico,74,10000,2732456,10882,882
baremetal,pico,75,10000,2743337,10881,881
baremetal,pico,76,10000,2751498,8161,-1839
baremetal,pico,77,10000,2762379,10881,881
baremetal,pico,78,10000,2773261,10882,882
baremetal,pico,79,10000,2781422,8161,-1839
baremetal,pico,80,10000,2792303,10881,881
baremetal,pico,81,10000,2803184,10881,881
baremetal,pico,82,10000,2811345,8161,-1839
baremetal,pico,83,10000,2822226,10881,881
baremetal,pico,84,10000,2833108,10882,882
baremetal,pico,85,10000,2841269,8161,-1839
baremetal,pico,86,10000,2852150,10881,881
baremetal,pico,87,10000,2863031,10881,881
baremetal,pico,88,10000,2871192,8161,-1839
baremetal,pico,89,10000,2882074,10882,882
baremetal,pico,90,10000,2892955,10881,881
baremetal,pico,91,10000,2901116,8161,-1839
baremetal,pico,92,10000,2911997,10881,881
baremetal,pico,93,10000,2922878,10881,881
baremetal,pico,94,10000,2931039,8161,-1839
baremetal,pico,95,10000,2941921,10882,882
baremetal,pico,96,10000,2952802,10881,881
baremetal,pico,97,10000,2960963,8161,-1839
baremetal,pico,98,10000,2971844,10881,881
baremetal,pico,99,10000,2982726,10882,882
baremetal,pico,100,10000,2990887,8161,-1839
baremetal,pico,101,10000,3001768,10881,881
baremetal,pico,102,10000,3012649,10881,881
baremetal,pico,103,10000,3020810,8161,-1839
baremetal,pico,104,10000,3031691,10881,881
baremetal,pico,105,10000,3042573,10882,882
baremetal,pico,106,10000,3050734,8161,-1839
baremetal,pico,107,10000,3061615,10881,881
baremetal,pico,108,10000,3072496,10881,881
baremetal,pico,109,10000,3083378,10882,882
baremetal,pico,110,10000,3091539,8161,-1839
baremetal,pico,111,10000,3102420,10881,881
baremetal,pico,112,10000,3113301,10881,881
baremetal,pico,113,10000,3121462,8161,-1839
baremetal,pico,114,10000,3132343,10881,881
baremetal,pico,115,10000,3143225,10882,882
baremetal,pico,116,10000,3151386,8161,-1839
baremetal,pico,117,10000,3162267,10881,881
baremetal,pico,118,10000,3173148,10881,881
baremetal,pico,119,10000,3181309,8161,-1839
baremetal,pico,120,10000,3192191,10882,882
baremetal,pico,121,10000,3203072,10881,881
baremetal,pico,122,10000,3211233,8161,-1839
baremetal,pico,123,10000,3222114,10881,881
baremetal,pico,124,10000,3232995,10881,881
baremetal,pico,125,10000,3241156,8161,-1839
baremetal,pico,126,10000,3252038,10882,882
baremetal,pico,127,10000,3262919,10881,881
baremetal,pico,128,10000,3271080,8161,-1839
baremetal,pico,129,10000,3281961,10881,881
baremetal,pico,130,10000,3292843,10882,882
baremetal,pico,131,10000,3301004,8161,-1839
baremetal,pico,132,10000,3311885,10881,881
baremetal,pico,133,10000,3322766,10881,881
baremetal,pico,134,10000,3330927,8161,-1839
baremetal,pico,135,10000,3341808,10881,881
baremetal,pico,136,10000,3352690,10882,882
baremetal,pico,137,10000,3360851,8161,-1839
baremetal,pico,138,10000,3371732,10881,881
baremetal,pico,139,10000,3382613,10881,881
baremetal,pico,140,10000,3390774,8161,-1839
baremetal,pico,141,10000,3401656,10882,882
baremetal,pico,142,10000,3412537,10881,881
baremetal,pico,143,10000,3420698,8161,-1839
baremetal,pico,144,10000,3431579,10881,881
baremetal,pico,145,10000,3442460,10881,881
baremetal,pico,146,10000,3453342,10882,882
baremetal,pico,147,10000,3461503,8161,-1839
baremetal,pico,148,10000,3472384,10881,881
baremetal,pico,149,10000,3483265,10881,881
baremetal,pico,150,10000,3491426,8161,-1839
baremetal,pico,151,10000,3502308,10882,882
baremetal,pico,152,10000,3513189,10881,881
baremetal,pico,153,10000,3521350,8161,-1839
baremetal,pico,154,10000,3532231,10881,881
baremetal,pico,155,10000,3543112,10881,881
baremetal,pico,156,10000,3551273,8161,-1839
baremetal,pico,157,10000,3562155,10882,882
baremetal,pico,158,10000,3573036,10881,881
baremetal,pico,159,10000,3581197,8161,-1839
baremetal,pico,160,10000,3592078,10881,881
baremetal,pico,161,10000,3602960,10882,882
baremetal,pico,162,10000,3611121,8161,-1839
baremetal,pico,163,10000,3622002,10881,881
baremetal,pico,164,10000,3632883,10881,881
baremetal,pico,165,10000,3641044,8161,-1839
baremetal,pico,166,10000,3651925,10881,881
baremetal,pico,167,10000,3662807,10882,882
baremetal,pico,168,10000,3670968,8161,-1839
baremetal,pico,169,10000,3681849,10881,881
baremetal,pico,170,10000,3692730,10881,881
baremetal,pico,171,10000,3700891,8161,-1839
baremetal,pico,172,10000,3711773,10882,882
baremetal,pico,173,10000,3722654,10881,881
baremetal,pico,174,10000,3730815,8161,-1839
baremetal,pico,175,10000,3741696,10881,881
baremetal,pico,176,10000,3752577,10881,881
baremetal,pico,177,10000,3760738,8161,-1839
baremetal,pico,178,10000,3771620,10882,882
baremetal,pico,179,10000,3782501,10881,881
baremetal,pico,180,10000,3793382,10881,881
baremetal,pico,181,10000,3801543,8161,-1839
baremetal,pico,182,10000,3812424,10881,881
baremetal,pico,183,10000,3823306,10882,882
baremetal,pico,184,10000,3831467,8161,-1839
baremetal,pico,185,10000,3842348,10881,881
baremetal,pico,186,10000,3853229,10881,881
baremetal,pico,187,10000,3861390,8161,-1839
baremetal,pico,188,10000,3872272,10882,882
baremetal,pico,189,10000,3883153,10881,881
baremetal,pico,190,10000,3891314,8161,-1839
baremetal,pico,191,10000,3902195,10881,881
baremetal,pico,192,10000,3913076,10881,881
