mode,board,sample_index,period_target_us,timestamp_us,delta_us,jitter_us,queue_latency_us,deadline_miss_count
freertos,pico,1,10000,2044,0,0,80,0
freertos,pico,2,10000,12041,9997,-3,11,0
freertos,pico,3,10000,22020,9979,-21,8,0
freertos,pico,4,10000,32020,10000,0,8,0
freertos,pico,5,10000,42020,10000,0,8,0
freertos,pico,6,10000,52020,10000,0,8,0
freertos,pico,7,10000,62020,10000,0,8,0
freertos,pico,8,10000,72020,10000,0,8,0
freertos,pico,9,10000,82020,10000,0,8,0
freertos,pico,10,10000,92020,10000,0,8,0
freertos,pico,11,10000,102020,10000,0,8,0
freertos,pico,12,10000,112020,10000,0,8,0
freertos,pico,13,10000,122020,10000,0,8,0
freertos,pico,14,10000,132020,10000,0,8,0
freertos,pico,15,10000,142020,10000,0,8,0
freertos,pico,16,10000,152020,10000,0,8,0
freertos,pico,17,10000,162020,10000,0,8,0
freertos,pico,18,10000,172022,10002,2,8,0
freertos,pico,19,10000,182020,9998,-2,8,0
freertos,pico,20,10000,192020,10000,0,8,0
freertos,pico,21,10000,202020,10000,0,8,0
freertos,pico,22,10000,212020,10000,0,8,0
freertos,pico,23,10000,222020,10000,0,8,0
freertos,pico,24,10000,232020,10000,0,8,0
freertos,pico,25,10000,242020,10000,0,8,0
freertos,pico,26,10000,252020,10000,0,8,0
freertos,pico,27,10000,262020,10000,0,8,0
freertos,pico,28,10000,272020,10000,0,8,0
freertos,pico,29,10000,282020,10000,0,8,0
freertos,pico,30,10000,292020,10000,0,8,0
freertos,pico,31,10000,302020,10000,0,8,0
freertos,pico,32,10000,312020,10000,0,8,0
freertos,pico,33,10000,322020,10000,0,8,0
freertos,pico,34,10000,332020,10000,0,8,0
freertos,pico,35,10000,342020,10000,0,8,0
freertos,pico,36,10000,352020,10000,0,8,0
freertos,pico,37,10000,362020,10000,0,8,0
freertos,pico,38,10000,372020,10000,0,8,0
freertos,pico,39,10000,382020,10000,0,8,0
freertos,pico,40,10000,392020,10000,0,8,0
freertos,pico,41,10000,402020,10000,0,8,0
freertos,pico,42,10000,412020,10000,0,8,0
freertos,pico,43,10000,422020,10000,0,8,0
freertos,pico,44,10000,432021,10001,1,10,0
