mode,board,sample_index,period_target_us,timestamp_us,delta_us,jitter_us
baremetal,pico,140,10000,3390768,8161,-1839
baremetal,pico,141,10000,3401649,10881,881
baremetal,pico,142,10000,3412530,10881,881
baremetal,pico,143,10000,3420691,8161,-1839
baremetal,pico,144,10000,3431573,10882,882
baremetal,pico,145,10000,3442454,10881,881
baremetal,pico,146,10000,3453335,10881,881
baremetal,pico,147,10000,3461496,8161,-1839
baremetal,pico,148,10000,3472378,10882,882
baremetal,pico,149,10000,3483259,10881,881
baremetal,pico,150,10000,3491420,8161,-1839
baremetal,pico,151,10000,3502301,10881,881
baremetal,pico,152,10000,3513182,10881,881
baremetal,pico,153,10000,3521343,8161,-1839
baremetal,pico,154,10000,3532225,10882,882
baremetal,pico,155,10000,3543106,10881,881
baremetal,pico,156,10000,3551267,8161,-1839
baremetal,pico,157,10000,3562148,10881,881
baremetal,pico,158,10000,3573030,10882,882
baremetal,pico,159,10000,3581191,8161,-1839
baremetal,pico,160,10000,3592072,10881,881
baremetal,pico,161,10000,3602953,10881,881
baremetal,pico,162,10000,3611114,8161,-1839
baremetal,pico,163,10000,3621995,10881,881
baremetal,pico,164,10000,3632877,10882,882
baremetal,pico,165,10000,3641038,8161,-1839
baremetal,pico,166,10000,3651919,10881,881
baremetal,pico,167,10000,3662800,10881,881
baremetal,pico,168,10000,3670961,8161,-1839
baremetal,pico,169,10000,3681843,10882,882
baremetal,pico,170,10000,3692724,10881,881
baremetal,pico,171,10000,3700885,8161,-1839
baremetal,pico,172,10000,3711766,10881,881
baremetal,pico,173,10000,3722647,10881,881
baremetal,pico,174,10000,3730808,8161,-1839
baremetal,pico,175,10000,3741690,10882,882
baremetal,pico,176,10000,3752571,10881,881
baremetal,pico,177,10000,3760732,8161,-1839
baremetal,pico,178,10000,3771613,10881,881
baremetal,pico,179,10000,3782495,10882,882
baremetal,pico,180,10000,3793376,10881,881
baremetal,pico,181,10000,3801537,8161,-1839
baremetal,pico,182,10000,3812418,10881,881
baremetal,pico,183,10000,3823299,10881,881
baremetal,pico,184,10000,3831460,8161,-1839
baremetal,pico,185,10000,3842342,10882,882
baremetal,pico,186,10000,3853223,10881,881
baremetal,pico,187,10000,3861384,8161,-1839
baremetal,pico,188,10000,3872265,10881,881
baremetal,pico,189,10000,3883147,10882,882
baremetal,pico,190,10000,3891308,8161,-1839
baremetal,pico,191,10000,3902189,10881,881
baremetal,pico,192,10000,3913070,10881,881
baremetal,pico,193,10000,3921231,8161,-1839
baremetal,pico,194,10000,3932112,10881,881
baremetal,pico,195,10000,3942994,10882,882
baremetal,pico,196,10000,3951155,8161,-1839
baremetal,pico,197,10000,3962036,10881,881
baremetal,pico,198,10000,3972917,10881,881
baremetal,pico,199,10000,3981078,8161,-1839
baremetal,pico,200,10000,3991959,10881,881
baremetal,pico,201,10000,4002841,10882,882
baremetal,pico,202,10000,4011002,8161,-1839
baremetal,pico,203,10000,4021883,10881,881
baremetal,pico,204,10000,4032764,10881,881
baremetal,pico,205,10000,4040925,8161,-1839
baremetal,pico,206,10000,4051807,10882,882
baremetal,pico,207,10000,4062688,10881,881
baremetal,pico,208,10000,4070849,8161,-1839
baremetal,pico,209,10000,4081730,10881,881
baremetal,pico,210,10000,4092611,10881,881
baremetal,pico,211,10000,4100772,8161,-1839
baremetal,pico,212,10000,4111654,10882,882
baremetal,pico,213,10000,4122535,10881,881
baremetal,pico,214,10000,4130696,8161,-1839
baremetal,pico,215,10000,4141577,10881,881
baremetal,pico,216,10000,4152459,10882,882
baremetal,pico,217,10000,4163340,10881,881
baremetal,pico,218,10000,4171501,8161,-1839
baremetal,pico,219,10000,4182382,10881,881
baremetal,pico,220,10000,4193263,10881,881
baremetal,pico,221,10000,4201424,8161,-1839
baremetal,pico,222,10000,4212306,10882,882
baremetal,pico,223,10000,4223187,10881,881
baremetal,pico,224,10000,4231348,8161,-1839
baremetal,pico,225,10000,4242229,10881,881
baremetal,pico,226,10000,4253111,10882,882
baremetal,pico,227,10000,4261272,8161,-1839
baremetal,pico,228,10000,4272153,10881,881
baremetal,pico,229,10000,4283034,10881,881
baremetal,pico,230,10000,4291195,8161,-1839
baremetal,pico,231,10000,4302076,10881,881
baremetal,pico,232,10000,4312958,10882,882
baremetal,pico,233,10000,4321119,8161,-1839
baremetal,pico,234,10000,4332000,10881,881
baremetal,pico,235,10000,4342881,10881,881
baremetal,pico,236,10000,4351042,8161,-1839
baremetal,pico,237,10000,4361924,10882,882
baremetal,pico,238,10000,4372805,10881,881
baremetal,pico,239,10000,4380966,8161,-1839
baremetal,pico,240,10000,4391847,10881,881
baremetal,pico,241,10000,4402728,10881,881
baremetal,pico,242,10000,4410889,8161,-1839
baremetal,pico,243,10000,4421771,10882,882
baremetal,pico,244,10000,4432652,10881,881
baremetal,pico,245,10000,4440813,8161,-1839
baremetal,pico,246,10000,4451694,10881,881
baremetal,pico,247,10000,4462576,10882,882
baremetal,pico,248,10000,4470737,8161,-1839
baremetal,pico,249,10000,4481618,10881,881
baremetal,pico,250,10000,4492499,10881,881
baremetal,pico,251,10000,4503380,10881,881
baremetal,pico,252,10000,4511541,8161,-1839
baremetal,pico,253,10000,4522423,10882,882
baremetal,pico,254,10000,4533304,10881,881
baremetal,pico,255,10000,4541465,8161,-1839
baremetal,pico,256,10000,4552346,10881,881
baremetal,pico,257,10000,4563228,10882,882
baremetal,pico,258,10000,4571389,8161,-1839
baremetal,pico,259,10000,4582270,10881,881
baremetal,pico,260,10000,4593151,10881,881
baremetal,pico,261,10000,4601312,8161,-1839
baremetal,pico,262,10000,4612193,10881,881
baremetal,pico,263,10000,4623075,10882,882
baremetal,pico,264,10000,4631236,8161,-1839
baremetal,pico,265,10000,4642117,10881,881
baremetal,pico,266,10000,4652998,10881,881
baremetal,pico,267,10000,4661159,8161,-1839
baremetal,pico,268,10000,4672041,10882,882
baremetal,pico,269,10000,4682922,10881,881
baremetal,pico,270,10000,4691083,8161,-1839
baremetal,pico,271,10000,4701964,10881,881
baremetal,pico,272,10000,4712845,10881,881
baremetal,pico,273,10000,4721006,8161,-1839
baremetal,pico,274,10000,4731888,10882,882
baremetal,pico,275,10000,4742769,10881,881
