rcv_time_ns,seq,send_time_ns,latency_ns,missing_delta,parse_status
1916721979416993,0,1916721979363549,53444,0,OK
1916721979416993,1,1916721979363549,53444,0,OK
1916721979416993,2,1916721979363549,53444,0,OK
1916722009376151,3,1916722009361614,14537,0,OK
1916722009376151,4,1916722009361614,14537,0,OK
1916722009376151,5,1916722009361614,14537,0,OK
1916722039374402,6,1916722039362161,12241,0,OK
1916722039374402,7,1916722039362161,12241,0,OK
1916722039374402,8,1916722039362161,12241,0,OK
1916722069371856,9,1916722069360690,11166,0,OK
1916722069371856,10,1916722069360690,11166,0,OK
1916722069371856,11,1916722069360690,11166,0,OK
1916722099371718,12,1916722099360644,11074,0,OK
1916722099371718,13,1916722099360644,11074,0,OK
1916722099371718,14,1916722099360644,11074,0,OK
1916722129376154,15,1916722129363562,12592,0,OK
1916722129376154,16,1916722129363562,12592,0,OK
1916722129376154,17,1916722129363562,12592,0,OK
1916722159373257,18,1916722159361497,11760,0,OK
1916722159373257,19,1916722159361497,11760,0,OK
1916722159373257,20,1916722159361497,11760,0,OK
1916722189372396,21,1916722189360970,11426,0,OK
1916722189372396,22,1916722189360970,11426,0,OK
1916722189372396,23,1916722189360970,11426,0,OK
1916722219371702,24,1916722219360480,11222,0,OK
1916722219371702,25,1916722219360480,11222,0,OK
1916722219371702,26,1916722219360480,11222,0,OK
1916722249382342,27,1916722249365175,17167,0,OK
1916722249382342,28,1916722249365175,17167,0,OK
1916722249382342,29,1916722249365175,17167,0,OK
1916722279374482,30,1916722279361000,13482,0,OK
1916722279374482,31,1916722279361000,13482,0,OK
1916722279374482,32,1916722279361000,13482,0,OK
1916722309373103,33,1916722309361010,12093,0,OK
1916722309373103,34,1916722309361010,12093,0,OK
1916722309373103,35,1916722309361010,12093,0,OK
1916722339372946,36,1916722339361150,11796,0,OK
1916722339372946,37,1916722339361150,11796,0,OK
1916722339372946,38,1916722339361150,11796,0,OK
1916722369375493,39,1916722369364252,11241,0,OK
1916722369375493,40,1916722369364252,11241,0,OK
1916722369375493,41,1916722369364252,11241,0,OK
1916722399371503,42,1916722399360244,11259,0,OK
1916722399371503,43,1916722399360244,11259,0,OK
1916722399371503,44,1916722399360244,11259,0,OK
1916722429371680,45,1916722429360661,11019,0,OK
1916722429371680,46,1916722429360661,11019,0,OK
1916722429371680,47,1916722429360661,11019,0,OK
1916722459371375,48,1916722459360468,10907,0,OK
1916722459371375,49,1916722459360468,10907,0,OK
1916722459371375,50,1916722459360468,10907,0,OK
1916722489372403,51,1916722489361422,10981,0,OK
1916722489372403,52,1916722489361422,10981,0,OK
1916722489372403,53,1916722489361422,10981,0,OK
1916722519371228,54,1916722519360580,10648,0,OK
1916722519371228,55,1916722519360580,10648,0,OK
1916722519371228,56,1916722519360580,10648,0,OK
1916722549371220,57,1916722549360294,10926,0,OK
1916722549371220,58,1916722549360294,10926,0,OK
1916722549371220,59,1916722549360294,10926,0,OK
1916722579372452,60,1916722579360896,11556,0,OK
1916722579372452,61,1916722579360896,11556,0,OK
1916722579372452,62,1916722579360896,11556,0,OK
1916722609374851,63,1916722609363573,11278,0,OK
1916722609374851,64,1916722609363573,11278,0,OK
1916722609374851,65,1916722609363573,11278,0,OK
1916722639371379,66,1916722639360546,10833,0,OK
1916722639371379,67,1916722639360546,10833,0,OK
1916722639371379,68,1916722639360546,10833,0,OK
1916722669371093,69,1916722669360148,10945,0,OK
1916722669371093,70,1916722669360148,10945,0,OK
1916722669371093,71,1916722669360148,10945,0,OK
1916722699371751,72,1916722699360918,10833,0,OK
1916722699371751,73,1916722699360918,10833,0,OK
1916722699371751,74,1916722699360918,10833,0,OK
1916722729374557,75,1916722729363631,10926,0,OK
1916722729374557,76,1916722729363631,10926,0,OK
1916722729374557,77,1916722729363631,10926,0,OK
