rcv_time_ns,seq,send_time_ns,latency_ns,missing_delta,parse_status
1916745997105109,0,1916745997043647,61462,0,OK
1916745997105109,1,1916745997043647,61462,0,OK
1916745997105109,2,1916745997043647,61462,0,OK
1916746027055916,3,1916746027041768,14148,0,OK
1916746027055916,4,1916746027041768,14148,0,OK
1916746027055916,5,1916746027041768,14148,0,OK
1916746057056760,6,1916746057041852,14908,0,OK
1916746057056760,7,1916746057041852,14908,0,OK
1916746057056760,8,1916746057041852,14908,0,OK
1916746087054159,9,1916746087041011,13148,0,OK
1916746087054159,10,1916746087041011,13148,0,OK
1916746087054159,11,1916746087041011,13148,0,OK
1916746117055484,12,1916746117042558,12926,0,OK
1916746117055484,13,1916746117042558,12926,0,OK
1916746117055484,14,1916746117042558,12926,0,OK
1916746147052420,15,1916746147041013,11407,0,OK
1916746147052420,16,1916746147041013,11407,0,OK
1916746147052420,17,1916746147041013,11407,0,OK
1916746177052431,18,1916746177041283,11148,0,OK
1916746177052431,19,1916746177041283,11148,0,OK
1916746177052431,20,1916746177041283,11148,0,OK
1916746207054034,21,1916746207042997,11037,0,OK
1916746207054034,22,1916746207042997,11037,0,OK
1916746207054034,23,1916746207042997,11037,0,OK
1916746237053674,24,1916746237042192,11482,0,OK
1916746237053674,25,1916746237042192,11482,0,OK
1916746237053674,26,1916746237042192,11482,0,OK
1916746267051906,27,1916746267040888,11018,0,OK
1916746267051906,28,1916746267040888,11018,0,OK
1916746267051906,29,1916746267040888,11018,0,OK
1916746297052213,30,1916746297041083,11130,0,OK
1916746297052213,31,1916746297041083,11130,0,OK
1916746297052213,32,1916746297041083,11130,0,OK
1916746327055816,33,1916746327044631,11185,0,OK
1916746327055816,34,1916746327044631,11185,0,OK
1916746327055816,35,1916746327044631,11185,0,OK
1916746357052289,36,1916746357041178,11111,0,OK
1916746357052289,37,1916746357041178,11111,0,OK
1916746357052289,38,1916746357041178,11111,0,OK
1916746387052781,39,1916746387041355,11426,0,OK
1916746387052781,40,1916746387041355,11426,0,OK
1916746387052781,41,1916746387041355,11426,0,OK
1916746417052050,42,1916746417041032,11018,0,OK
1916746417052050,43,1916746417041032,11018,0,OK
1916746417052050,44,1916746417041032,11018,0,OK
1916746447055857,45,1916746447044801,11056,0,OK
1916746447055857,46,1916746447044801,11056,0,OK
1916746447055857,47,1916746447044801,11056,0,OK
1916746477053182,48,1916746477041867,11315,0,OK
1916746477053182,49,1916746477041867,11315,0,OK
1916746477053182,50,1916746477041867,11315,0,OK
1916746507051581,51,1916746507040841,10740,0,OK
1916746507051581,52,1916746507040841,10740,0,OK
1916746507051581,53,1916746507040841,10740,0,OK
1916746537051832,54,1916746537040943,10889,0,OK
1916746537051832,55,1916746537040943,10889,0,OK
1916746537051832,56,1916746537040943,10889,0,OK
1916746567053046,57,1916746567042176,10870,0,OK
1916746567053046,58,1916746567042176,10870,0,OK
1916746567053046,59,1916746567042176,10870,0,OK
1916746597051946,60,1916746597041112,10834,0,OK
1916746597051946,61,1916746597041112,10834,0,OK
1916746597051946,62,1916746597041112,10834,0,OK
1916746627051697,63,1916746627040900,10797,0,OK
1916746627051697,64,1916746627040900,10797,0,OK
1916746627051697,65,1916746627040900,10797,0,OK
1916746657051670,66,1916746657040948,10722,0,OK
1916746657051670,67,1916746657040948,10722,0,OK
1916746657051670,68,1916746657040948,10722,0,OK
1916746687055143,69,1916746687044180,10963,0,OK
1916746687055143,70,1916746687044180,10963,0,OK
1916746687055143,71,1916746687044180,10963,0,OK
1916746717052820,72,1916746717041061,11759,0,OK
1916746717052820,73,1916746717041061,11759,0,OK
1916746717052820,74,1916746717041061,11759,0,OK
1916746747051571,75,1916746747040849,10722,0,OK
1916746747051571,76,1916746747040849,10722,0,OK
1916746747051571,77,1916746747040849,10722,0,OK
1916746777052600,78,1916746777041693,10907,0,OK
1916746777052600,79,1916746777041693,10907,0,OK
1916746777052600,80,1916746777041693,10907,0,OK
1916746807055647,81,1916746807044370,11277,0,OK
1916746807055647,82,1916746807044370,11277,0,OK
1916746807055647,83,1916746807044370,11277,0,OK
1916746837052547,84,1916746837041121,11426,0,OK
1916746837052547,85,1916746837041121,11426,0,OK
1916746837052547,86,1916746837041121,11426,0,OK
