rcv_time_ns,seq,send_time_ns,latency_ns,missing_delta,parse_status
1916735128232124,115,1916735128220013,12111,0,OK
1916735128232124,116,1916735128220013,12111,0,OK
1916735158229820,117,1916735158218838,10982,0,OK
1916735158229820,118,1916735158218838,10982,0,OK
1916735158229820,119,1916735158218838,10982,0,OK
1916735188234219,120,1916735188222885,11334,0,OK
1916735188234219,121,1916735188222885,11334,0,OK
1916735188234219,122,1916735188222885,11334,0,OK
1916735218229729,123,1916735218218859,10870,0,OK
1916735218229729,124,1916735218218859,10870,0,OK
1916735218229729,125,1916735218218859,10870,0,OK
1916735248229887,126,1916735248219054,10833,0,OK
1916735248229887,127,1916735248219054,10833,0,OK
1916735248229887,128,1916735248219054,10833,0,OK
1916735278229694,129,1916735278218934,10760,0,OK
1916735278229694,130,1916735278218934,10760,0,OK
1916735278229694,131,1916735278218934,10760,0,OK
1916735308233482,132,1916735308222445,11037,0,OK
1916735308233482,133,1916735308222445,11037,0,OK
1916735308233482,134,1916735308222445,11037,0,OK
1916735338229566,135,1916735338218825,10741,0,OK
1916735338229566,136,1916735338218825,10741,0,OK
1916735338229566,137,1916735338218825,10741,0,OK
1916735368229872,138,1916735368219095,10777,0,OK
1916735368229872,139,1916735368219095,10777,0,OK
1916735368229872,140,1916735368219095,10777,0,OK
1916735398229734,141,1916735398218938,10796,0,OK
1916735398229734,142,1916735398218938,10796,0,OK
1916735398229734,143,1916735398218938,10796,0,OK
1916735428233467,144,1916735428222393,11074,0,OK
1916735428233467,145,1916735428222393,11074,0,OK
1916735428233467,146,1916735428222393,11074,0,OK
1916735458229588,147,1916735458218810,10778,0,OK
1916735458229588,148,1916735458218810,10778,0,OK
1916735458229588,149,1916735458218810,10778,0,OK
1916735488231209,150,1916735488219746,11463,0,OK
1916735488231209,151,1916735488219746,11463,0,OK
1916735488231209,152,1916735488219746,11463,0,OK
1916735518230997,153,1916735518218719,12278,0,OK
1916735518230997,154,1916735518218719,12278,0,OK
1916735518230997,155,1916735518218719,12278,0,OK
1916735548233674,156,1916735548222470,11204,0,OK
1916735548233674,157,1916735548222470,11204,0,OK
1916735548233674,158,1916735548222470,11204,0,OK
1916735578229592,159,1916735578218795,10797,0,OK
1916735578229592,160,1916735578218795,10797,0,OK
1916735578229592,161,1916735578218795,10797,0,OK
1916735608230009,162,1916735608219157,10852,0,OK
1916735608230009,163,1916735608219157,10852,0,OK
1916735608230009,164,1916735608219157,10852,0,OK
1916735638230519,165,1916735638219223,11296,0,OK
1916735638230519,166,1916735638219223,11296,0,OK
1916735638230519,167,1916735638219223,11296,0,OK
1916735668234307,168,1916735668222789,11518,0,OK
1916735668234307,169,1916735668222789,11518,0,OK
1916735668234307,170,1916735668222789,11518,0,OK
1916735698230373,171,1916735698219243,11130,0,OK
1916735698230373,172,1916735698219243,11130,0,OK
1916735698230373,173,1916735698219243,11130,0,OK
1916735728230846,174,1916735728219809,11037,0,OK
1916735728230846,175,1916735728219809,11037,0,OK
1916735728230846,176,1916735728219809,11037,0,OK
1916735758229708,177,1916735758218856,10852,0,OK
1916735758229708,178,1916735758218856,10852,0,OK
1916735758229708,179,1916735758218856,10852,0,OK
1916735788233774,180,1916735788222441,11333,0,OK
1916735788233774,181,1916735788222441,11333,0,OK
1916735788233774,182,1916735788222441,11333,0,OK
1916735818229654,183,1916735818218895,10759,0,OK
1916735818229654,184,1916735818218895,10759,0,OK
1916735818229654,185,1916735818218895,10759,0,OK
1916735848230072,186,1916735848219183,10889,0,OK
1916735848230072,187,1916735848219183,10889,0,OK
1916735848230072,188,1916735848219183,10889,0,OK
1916735878230934,189,1916735878219453,11481,0,OK
1916735878230934,190,1916735878219453,11481,0,OK
1916735878230934,191,1916735878219453,11481,0,OK
1916735908233685,192,1916735908222796,10889,0,OK
1916735908233685,193,1916735908222796,10889,0,OK
1916735908233685,194,1916735908222796,10889,0,OK
1916735938230473,195,1916735938219473,11000,0,OK
1916735938230473,196,1916735938219473,11000,0,OK
1916735938230473,197,1916735938219473,11000,0,OK
1916735968230353,198,1916735968219816,10537,0,OK
1916735968230353,199,1916735968219816,10537,0,OK
1916735968230353,200,1916735968219816,10537,0,OK
1916735998248012,201,1916735998219567,28445,0,OK
1916735998248012,202,1916735998219567,28445,0,OK
1916735998248012,203,1916735998219567,28445,0,OK
1916736028237615,204,1916736028220152,17463,0,OK
1916736028237615,205,1916736028220152,17463,0,OK
1916736028237615,206,1916736028220152,17463,0,OK
1916736058231532,207,1916736058219643,11889,0,OK
1916736058231532,208,1916736058219643,11889,0,OK
1916736058231532,209,1916736058219643,11889,0,OK
1916736088230153,210,1916736088219061,11092,0,OK
1916736088230153,211,1916736088219061,11092,0,OK
1916736088230153,212,1916736088219061,11092,0,OK
1916736118234312,213,1916736118223275,11037,0,OK
1916736118234312,214,1916736118223275,11037,0,OK
1916736118234312,215,1916736118223275,11037,0,OK
1916736148230637,216,1916736148219322,11315,0,OK
1916736148230637,217,1916736148219322,11315,0,OK
1916736148230637,218,1916736148219322,11315,0,OK
1916736178229795,219,1916736178218962,10833,0,OK
1916736178229795,220,1916736178218962,10833,0,OK
1916736178229795,221,1916736178218962,10833,0,OK
1916736208229990,222,1916736208219157,10833,0,OK
1916736208229990,223,1916736208219157,10833,0,OK
1916736208229990,224,1916736208219157,10833,0,OK
1916736238232315,225,1916736238219464,12851,0,OK
1916736238232315,226,1916736238219464,12851,0,OK
1916736238232315,227,1916736238219464,12851,0,OK
1916736268229900,228,1916736268219011,10889,0,OK
1916736268229900,229,1916736268219011,10889,0,OK
1916736268229900,230,1916736268219011,10889,0,OK
1916736298229706,231,1916736298219002,10704,0,OK
1916736298229706,232,1916736298219002,10704,0,OK
1916736298229706,233,1916736298219002,10704,0,OK
1916736328234198,234,1916736328223087,11111,0,OK
1916736328234198,235,1916736328223087,11111,0,OK
1916736328234198,236,1916736328223087,11111,0,OK
1916736358229560,237,1916736358218856,10704,0,OK
1916736358229560,238,1916736358218856,10704,0,OK
1916736358229560,239,1916736358218856,10704,0,OK
1916736388229811,240,1916736388219107,10704,0,OK
1916736388229811,241,1916736388219107,10704,0,OK
1916736388229811,242,1916736388219107,10704,0,OK
1916736418229580,243,1916736418218932,10648,0,OK
1916736418229580,244,1916736418218932,10648,0,OK
1916736418229580,245,1916736418218932,10648,0,OK
1916736448233516,246,1916736448222424,11092,0,OK
1916736448233516,247,1916736448222424,11092,0,OK
1916736448233516,248,1916736448222424,11092,0,OK
1916736478229619,249,1916736478218841,10778,0,OK
1916736478229619,250,1916736478218841,10778,0,OK
1916736478229619,251,1916736478218841,10778,0,OK
1916736508230944,252,1916736508218703,12241,0,OK
1916736508230944,253,1916736508218703,12241,0,OK
1916736508230944,254,1916736508218703,12241,0,OK
1916736538230139,255,1916736538219269,10870,0,OK
1916736538230139,256,1916736538219269,10870,0,OK
1916736538230139,257,1916736538219269,10870,0,OK
1916736568233835,258,1916736568222501,11334,0,OK
1916736568233835,259,1916736568222501,11334,0,OK
1916736568233835,260,1916736568222501,11334,0,OK
1916736598229771,261,1916736598218826,10945,0,OK
1916736598229771,262,1916736598218826,10945,0,OK
1916736598229771,263,1916736598218826,10945,0,OK
1916736628229799,264,1916736628219003,10796,0,OK
1916736628229799,265,1916736628219003,10796,0,OK
1916736628229799,266,1916736628219003,10796,0,OK
1916736658230810,267,1916736658219495,11315,0,OK
1916736658230810,268,1916736658219495,11315,0,OK
1916736658230810,269,1916736658219495,11315,0,OK
1916736688234005,270,1916736688222801,11204,0,OK
1916736688234005,271,1916736688222801,11204,0,OK
1916736688234005,272,1916736688222801,11204,0,OK
1916736718229700,273,1916736718218867,10833,0,OK
1916736718229700,274,1916736718218867,10833,0,OK
1916736718229700,275,1916736718218867,10833,0,OK
1916736748230674,276,1916736748219748,10926,0,OK
1916736748230674,277,1916736748219748,10926,0,OK
1916736748230674,278,1916736748219748,10926,0,OK
1916736778229554,279,1916736778218795,10759,0,OK
1916736778229554,280,1916736778218795,10759,0,OK
1916736778229554,281,1916736778218795,10759,0,OK
1916736808233398,282,1916736808222305,11093,0,OK
1916736808233398,283,1916736808222305,11093,0,OK
1916736808233398,284,1916736808222305,11093,0,OK
1916736838229426,285,1916736838218852,10574,0,OK
1916736838229426,286,1916736838218852,10574,0,OK
1916736838229426,287,1916736838218852,10574,0,OK
1916736868229659,288,1916736868219066,10593,0,OK
1916736868229659,289,1916736868219066,10593,0,OK
1916736868229659,290,1916736868219066,10593,0,OK
1916736898229836,291,1916736898218706,11130,0,OK
1916736898229836,292,1916736898218706,11130,0,OK
1916736898229836,293,1916736898218706,11130,0,OK
1916736928233901,294,1916736928222827,11074,0,OK
1916736928233901,295,1916736928222827,11074,0,OK
1916736928233901,296,1916736928222827,11074,0,OK
1916736958230356,297,1916736958218838,11518,0,OK
1916736958230356,298,1916736958218838,11518,0,OK
1916736958230356,299,1916736958218838,11518,0,OK
1916736988243348,300,1916736988219218,24130,0,OK
1916736988243348,301,1916736988219218,24130,0,OK
1916736988243348,302,1916736988219218,24130,0,OK
1916737018230395,303,1916737018219284,11111,0,OK
1916737018230395,304,1916737018219284,11111,0,OK
1916737018230395,305,1916737018219284,11111,0,OK
1916737048243312,306,1916737048223183,20129,0,OK
1916737048243312,307,1916737048223183,20129,0,OK
1916737048243312,308,1916737048223183,20129,0,OK
1916737078239082,309,1916737078221823,17259,0,OK
1916737078239082,310,1916737078221823,17259,0,OK
1916737078239082,311,1916737078221823,17259,0,OK
1916737108237277,312,1916737108221222,16055,0,OK
1916737108237277,313,1916737108221222,16055,0,OK
1916737108237277,314,1916737108221222,16055,0,OK
1916737138235602,315,1916737138220158,15444,0,OK
1916737138235602,316,1916737138220158,15444,0,OK
1916737138235602,317,1916737138220158,15444,0,OK
1916737168243853,318,1916737168222927,20926,0,OK
1916737168243853,319,1916737168222927,20926,0,OK
1916737168243853,320,1916737168222927,20926,0,OK
1916737198236400,321,1916737198220826,15574,0,OK
1916737198236400,322,1916737198220826,15574,0,OK
1916737198236400,323,1916737198220826,15574,0,OK
1916737228237281,324,1916737228220874,16407,0,OK
1916737228237281,325,1916737228220874,16407,0,OK
1916737228237281,326,1916737228220874,16407,0,OK
1916737258235199,327,1916737258219865,15334,0,OK
1916737258235199,328,1916737258219865,15334,0,OK
1916737258235199,329,1916737258219865,15334,0,OK
1916737288239838,330,1916737288225116,14722,0,OK
1916737288239838,331,1916737288225116,14722,0,OK
1916737288239838,332,1916737288225116,14722,0,OK
1916737318235256,333,1916737318220182,15074,0,OK
1916737318235256,334,1916737318220182,15074,0,OK
1916737318235256,335,1916737318220182,15074,0,OK
1916737348236785,336,1916737348220896,15889,0,OK
1916737348236785,337,1916737348220896,15889,0,OK
1916737348236785,338,1916737348220896,15889,0,OK
1916737378235462,339,1916737378220202,15260,0,OK
1916737378235462,340,1916737378220202,15260,0,OK
1916737378235462,341,1916737378220202,15260,0,OK
1916737408240324,342,1916737408224916,15408,0,OK
1916737408240324,343,1916737408224916,15408,0,OK
1916737408240324,344,1916737408224916,15408,0,OK
1916737438235389,345,1916737438220149,15240,0,OK
1916737438235389,346,1916737438220149,15240,0,OK
1916737438235389,347,1916737438220149,15240,0,OK
1916737468236548,348,1916737468220677,15871,0,OK
1916737468236548,349,1916737468220677,15871,0,OK
1916737468236548,350,1916737468220677,15871,0,OK
1916737498235169,351,1916737498220058,15111,0,OK
1916737498235169,352,1916737498220058,15111,0,OK
1916737498235169,353,1916737498220058,15111,0,OK
1916737528239513,354,1916737528224605,14908,0,OK
1916737528239513,355,1916737528224605,14908,0,OK
1916737528239513,356,1916737528224605,14908,0,OK
1916737558235578,357,1916737558219782,15796,0,OK
1916737558235578,358,1916737558219782,15796,0,OK
1916737558235578,359,1916737558219782,15796,0,OK
1916737588236200,360,1916737588220792,15408,0,OK
1916737588236200,361,1916737588220792,15408,0,OK
1916737588236200,362,1916737588220792,15408,0,OK
1916737618234821,363,1916737618220062,14759,0,OK
1916737618234821,364,1916737618220062,14759,0,OK
1916737618234821,365,1916737618220062,14759,0,OK
1916737648241609,366,1916737648222016,19593,0,OK
1916737648241609,367,1916737648222016,19593,0,OK
1916737648241609,368,1916737648222016,19593,0,OK
1916737678236712,369,1916737678220212,16500,0,OK
1916737678236712,370,1916737678220212,16500,0,OK
1916737678236712,371,1916737678220212,16500,0,OK
1916737708236111,372,1916737708220740,15371,0,OK
1916737708236111,373,1916737708220740,15371,0,OK
1916737708236111,374,1916737708220740,15371,0,OK
1916737738234843,375,1916737738220047,14796,0,OK
1916737738234843,376,1916737738220047,14796,0,OK
1916737738234843,377,1916737738220047,14796,0,OK
1916737768235890,378,1916737768219983,15907,0,OK
1916737768235890,379,1916737768219983,15907,0,OK
1916737768235890,380,1916737768219983,15907,0,OK
1916737798234734,381,1916737798220030,14704,0,OK
1916737798234734,382,1916737798220030,14704,0,OK
1916737798234734,383,1916737798220030,14704,0,OK
1916737828236022,384,1916737828220485,15537,0,OK
1916737828236022,385,1916737828220485,15537,0,OK
1916737828236022,386,1916737828220485,15537,0,OK
1916737858240199,387,1916737858221514,18685,0,OK
1916737858240199,388,1916737858221514,18685,0,OK
1916737858240199,389,1916737858221514,18685,0,OK
1916737888236616,390,1916737888220653,15963,0,OK
1916737888236616,391,1916737888220653,15963,0,OK
1916737888236616,392,1916737888220653,15963,0,OK
1916737918235256,393,1916737918219590,15666,0,OK
1916737918235256,394,1916737918219590,15666,0,OK
1916737918235256,395,1916737918219590,15666,0,OK
1916737948236359,396,1916737948221340,15019,0,OK
1916737948236359,397,1916737948221340,15019,0,OK
1916737948236359,398,1916737948221340,15019,0,OK
1916737978240017,399,1916737978221536,18481,0,OK
1916737978240017,400,1916737978221536,18481,0,OK
1916737978240017,401,1916737978221536,18481,0,OK
1916738008255102,402,1916738008220250,34852,0,OK
1916738008255102,403,1916738008220250,34852,0,OK
1916738008255102,404,1916738008220250,34852,0,OK
1916738038235741,405,1916738038220334,15407,0,OK
1916738038235741,406,1916738038220334,15407,0,OK
1916738038235741,407,1916738038220334,15407,0,OK
1916738068238122,408,1916738068220604,17518,0,OK
1916738068238122,409,1916738068220604,17518,0,OK
1916738068238122,410,1916738068220604,17518,0,OK
1916738098240632,411,1916738098221947,18685,0,OK
1916738098240632,412,1916738098221947,18685,0,OK
1916738098240632,413,1916738098221947,18685,0,OK
1916738128236939,414,1916738128220772,16167,0,OK
1916738128236939,415,1916738128220772,16167,0,OK
1916738128236939,416,1916738128220772,16167,0,OK
1916738158235004,417,1916738158220079,14925,0,OK
1916738158235004,418,1916738158220079,14925,0,OK
1916738158235004,419,1916738158220079,14925,0,OK
1916738188236496,420,1916738188220311,16185,0,OK
1916738188236496,421,1916738188220311,16185,0,OK
1916738188236496,422,1916738188220311,16185,0,OK
1916738218240080,423,1916738218224747,15333,0,OK
1916738218240080,424,1916738218224747,15333,0,OK
1916738218240080,425,1916738218224747,15333,0,OK
1916738248237368,426,1916738248221387,15981,0,OK
1916738248237368,427,1916738248221387,15981,0,OK
